start,STATE,LGA,Name of SEEFOR FADAMA Community Association (SFCA),Name of SEEFOR FADAMA User Groups (SFUG),Type of Sub-project Enterprise,CROP PRODUCTION,FISHERY,LIVESTOCK,POULTRY,PROCESSING,MARKETING,RURAL INFRASTRUCTURE,FORESTRY,Total Cost of Sub-Project,IDA Amount,Beneficiary Contribution,Total Amount Disbursed,Date of disbursement,Status of Sub-Project,Duration of Sub-Project Implementation,Total Number of Service Providers,Total number of enterprise beneficiaries,Number of members with access to extension services,People that has access to services support by the SEEFOR FADAMA Project,People that has access to services support by the SEEFOR FADAMA Project/Capacity building services,People that has access to services support by the SEEFOR FADAMA Project/Advisory Services,People that has access to services support by the SEEFOR FADAMA Project/People that have access to rural infrastructure services,People that has access to services support by the SEEFOR FADAMA Project/Input Support,Number of Meetings,Frequency of meetings held by Group,Average Size of Each Members’ Household,Number of Direct Beneficiaries: Male,Number of Direct Beneficiaries: Female,Number of beneficiaries under supported services: Male,Number of beneficiaries under supported services: Female,Number of Indirect Beneficiaries: Male,Number of Indirect Beneficiaries: Female,Number of person employed on permanent basis (Male),Number of person employed on permanent basis (Female),Number of person employed on temporary basis (Male),Number of person employed on temporary basis (Female),Crop Production: Metric Tons per Hecta,Fishery: Number of Kg,Livestock: Number of Livestock,Poultry: Number of Birds,Poultry: Crate of Eggs,Processing: Volume of Produce Processed (Kg),Number of Production Cycle,FUEF Amount Saved,Picture of Sub-project 1,Picture of Sub-project 2,GPS Coordinates of site,_GPS Coordinates of site_latitude,_GPS Coordinates of site_longitude,_GPS Coordinates of site_altitude,_GPS Coordinates of site_precision,Success Stories due to presence of intervention,Do you have any challenges?,"If yes, what is the challenge?",Risk factors,Risk factors/Militancy,Risk factors/Oil Spillage,Risk factors/Flood,Risk factors/Others,"If others, specify?",Name of Data Collector,Signature of Data Collector,Name of SEEFOR FADAMA User Groups (SFUGs),Type of enterprise,Total number of membership,Frequency of meetings held,Number of Male,Number of Female,Frequency of meetings held by Groups,Number of person employed on permanent basis (Male),Number of person employed on permanent basis (Female),Number of person employed on temporary basis (Male),Number of person employed on temporary basis (Female),People that has access to services support by the SEEFOR FADAMA Project,Amount disbursed,Duration of Sub-Project,Total Number of Service Provider,Picture of Site,GIS Coordinates of site,_GIS Coordinates of site_latitude,_GIS Coordinates of site_longitude,_GIS Coordinates of site_altitude,_GIS Coordinates of site_precision,Increase of Agricultural Production for SEEFOR FADAMA,Picture of Sub-project,calculation,Number of Indirect Beneficiaries Male ${calculation},calculation_001,Number of Indirect Beneficiaries Female ${calculation_001},Sustainability Measures,Picture of Sub-project 3,"If yes, specify?",_id,_uuid,_submission_time,_validation_status,_index
2019-10-08T12:18:18.850+01:00,RIVERS,OPOBO/NKORO,OLOM NKORO,DIVINE FAVOUR FISH,FISHERY,,Fish Pond,,,,,,,1700000,1400000,300000,1400000,25-01-16,Completed,4 - 6 Months,1,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,48,1,4,6,4,6,4,40,15,4,3,40,15,,36000,,,,,3,51200,1570534154045.jpg,1570534191082.jpg,4.5552616666666665 7.465368333333333 21.0 5.0,4.555261667,7.465368333,21,5,CREATED EMPLOYMENT,Yes,POOR TRANSPORTATION,Others,0,0,0,1,PORCHING,IGWE MECHI BLESSING,1570534448928.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38376651,21479006-bdf9-43d6-a373-aa6bb4687d63,2019-10-08T13:23:42,,778
2019-10-08T12:52:55.148+01:00,RIVERS,OPOBO/NKORO,OLOM NKORO,OLOM NKORO CASSAVA,CROP PRODUCTION,Cassava,,,,,,,,1200000,900000,300000,900000,25-01-16,Completed,4 - 6 Months,1,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,48,1,4,5,4,4,6,16,40,0,0,16,40,60,0,0,0,0,0,3,70000,1570536053568.jpg,1570536066110.jpg,4.553976666666667 7.46697 0.6 4.9,4.553976667,7.46697,0.6,4.9,INCREASED PRODUCTION,Yes,HIGH COST OF TRANSPORTATION,Flood,0,0,1,0,,IGWE MECHI BLESSING,1570536237760.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38376689,b3fa1200-d68b-48e8-96a6-44bf72a10f32,2019-10-08T13:23:57,,779
2019-10-08T14:09:46.453+01:00,RIVERS,OPOBO/NKORO,OLOM NKORO,IBIYE VEGETABLE,CROP PRODUCTION,Vegetable,,,,,,,,1309900,1009900,300000,1009900,25-01-16,Completed,4 - 6 Months,1,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,48,1,4,6,4,6,4,45,10,0,0,45,10,30,,,,,,3,60000,1570540549832.jpg,1570540569924.jpg,4.548538333333333 7.469679999999999 4.5 5.0,4.548538333,7.46968,4.5,5,IMPROVED INCOME BASE,Yes,HIGH COST OF INPUT,,,,,,,IGWE MECHI BLESSING,1570540742833.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38376720,06301dab-55a8-4c7c-a5e5-076c3c5878f2,2019-10-08T13:24:16,,780
2019-10-08T14:17:28.938+01:00,RIVERS,AHOADA WEST,UBETA,UBETA ABUNWUNE SEEFOR FADAMA FISH FARMERS,FISHERY,,Fish Pond,,,,,,,3050000,2100000,950000,2100000,23-08-18,Completed,4 - 6 Months,1,11,11,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,14,1,5,8,3,8,3,4,44,2,0,0,0,,1800,,,,,2,45000,1570541005816.jpg,1570541064535.jpg,5.1627 6.5823633333333325 11.6 4.9,5.1627,6.582363333,11.6,4.9,,,,,,,,,,TEMPLE OLUYE,1570541179611.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38376897,6a4d7cbb-de76-4af9-997a-77a90dc7de8e,2019-10-08T13:26:36,,781
2019-10-08T14:02:50.443+01:00,RIVERS,OBIO/AKPOR,OGBOGORO,BEST OIL PALM MILLERS,PROCESSING,,,,,Palm Oil Processing,,,,1520000,1400000,120000,1400000,27-03-17,Completed,7 - 9 Months,1,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,24,1,5,6,4,4,6,4,110,6,0,18,62,,,,,,600,4,26400,1570540498829.jpg,1570540546214.jpg,5.060176905244589 6.727811275050044 34.0 4.0,5.060176905,6.727811275,34,4,CREATION OF EMPLOYMENT,Yes,INADEQUATE MEANS OF TRANSPORT SYSTEM,,,,,,,OROKWU CHUKUIGWE,1570540722933.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38378398,b29acee9-eeb1-4f4e-8390-0b044b0fd412,2019-10-08T13:49:23,,782
2019-10-08T14:03:30.015+01:00,RIVERS,AHOADA WEST,UBETA,,MARKETING,,,,,,Cold Room,,,4500000,4000000,450000,4000000,23-08-18,On-going,4 - 6 Months,1,12,12,Capacity building services Advisory Services People that have access to rural infrastructure services,1,1,1,0,14,1,5,9,3,9,3,,,,,,,,,,,,,,,1570540071568.jpg,1570540098424.jpg,5.165673333333333 6.584495 57.7 7.5,5.165673333,6.584495,57.7,7.5,,No,,,,,,,,NKPAH K. BARRY,1570540191565.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38380711,fa79ee55-925b-475d-a2fa-393e10b2a580,2019-10-08T14:21:14,,783
2019-10-08T13:42:56.066+01:00,RIVERS,AHOADA WEST,UBETA,UBETA UMASOYE SEEFOR FADAMA CASSAVA FARMERS,CROP PRODUCTION,Cassava,,,,,,,,1530000,1100000,430000,110000,23-08-18,Completed,4 - 6 Months,1,11,11,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,14,1,4,8,3,8,3,0,43,0,0,0,0,20,,,,,,1,20000,1570538848143.jpg,1570538867977.jpg,5.169645 6.585343333333332 37.0 7.4,5.169645,6.585343333,37,7.4,MODERN TECHNIQUES OF CASSAVA PRODUCTION ADOPTED,No,,,,,,,,NKPAH K. BARRY,1570539015553.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38380700,7e371e23-c404-4ddf-8764-d3eeb9449920,2019-10-08T14:20:59,,784
2019-10-08T15:19:45.066+01:00,RIVERS,OBIO/AKPOR,CHOBA,CHOBA SEEFOR FADAMA COMMUNITY ASSOCIATION,MARKETING,,,,,,Cold Room,,,3000000,2900000,100000,2900000,14-08-14,Completed,4 - 6 Months,1,28,28,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,60,1,6,14,14,14,14,58,40,2,0,58,40,,,,,,,,20000,1570544990429.jpg,1570545040099.jpg,4.892636784352362 6.905752373859286 38.0 5.0,4.892636784,6.905752374,38,5,EMPLOYMENT GENERATION,No,,,,,,,,OROKWU CHUKUIGWE,1570545148928.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38381595,daafc4dc-45e5-429c-a2e6-c6f70378997f,2019-10-08T14:36:26,,785
2019-10-06T04:23:35.345+01:00,BAYELSA,SOUTHERN IJAW,OZEZEBIRI,EBIKAKE OGBO,CROP PRODUCTION,Cassava,,,,,,,,1014286,720000,294286,720000,08-01-18,Completed,10 - 12 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,10,1,3,4,6,4,6,35,45,0,0,0,0,3300,,,,,,4,25000,1570518457552.jpg,1570518472358.jpg,4.77161 6.19784 -5.1 4.9,4.77161,6.19784,-5.1,4.9,WE ARE GREATFUL FOR THE INTERVENTION,Yes,FLOODING PROBLEMS,Flood,0,0,1,0,,SUODOH EGBUSON,1570332717017.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38381934,6402794a-b5b2-49fa-93c3-53e310dba800,2019-10-08T14:39:29,,786
2019-10-06T05:02:15.226+01:00,BAYELSA,SOUTHERN IJAW,UKUBIE,AKPALAKPA,FISHERY,,Fish Pond,,,,,,,1014000,720000,294000,720000,05-02-18,Completed,7 - 9 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,10,1,3,6,4,6,4,45,25,,0,0,0,,2300,,,,,1,12000,1570541441957.jpg,1570541456208.jpg,4.685073333333333 5.834601666666667 16.2 4.2,4.685073333,5.834601667,16.2,4.2,THE INTERVENTION HAS BEEN OF ASSISTANCE TO US AS A GROUP,Yes,FLOODING,Flood,0,0,1,0,,SUODOH EGBUSON,1570334847945.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38381937,6398a1bc-8802-4964-bad9-115fafc6ae4c,2019-10-08T14:39:33,,787
2019-10-06T05:07:38.877+01:00,BAYELSA,SOUTHERN IJAW,UKUBIE,AKPALAKPA YOUTHS,CROP PRODUCTION,Cassava,,,,,,,,1014000,720000,294000,720000,16-02-18,Completed,10 - 12 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,3,4,6,4,6,25,45,0,0,0,0,3300,,,,,,1,,1570541910832.jpg,1570541934813.jpg,4.685338333333333 5.833681666666666 1.7 3.5,4.685338333,5.833681667,1.7,3.5,THE INTERVENTION IS A WELCOME IDEA BUT WE STILL NEED MORE ASSISTANCE,Yes,FLOODING PROBLEMS,Flood,0,0,1,0,,SUODOH EGBUSON,1570335094582.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38381941,8e4c89e8-994e-4f7c-b7ed-544c1ebb6d03,2019-10-08T14:39:37,,788
2019-10-08T10:08:42.539+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA ASSOCIATION,GBO KWALENU FISH FARMERS,FISHERY,,Fish Pond,,,,,,,2142857,1500000,642857,1500000,05-02-15,Completed,4 - 6 Months,1,13,61,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,48,1,3,7,6,7,8,31,30,2,2,55,50,,1800,,,,,8,90000,1570530797997.jpg,1570530851725.jpg,4.715206666666667 7.249085 14.2 4.9,4.715206667,7.249085,14.2,4.9,,,,,,,,,,IBIYE ANTHONY YELLOWE,1570539104035.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38382630,4fd78994-ed7a-4efc-ab33-d2006f2d29a7,2019-10-08T14:51:46,,789
2019-10-08T10:20:18.438+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA COMMUNITY ASSOCIATION,LEGBOTU CASSAVA FARMERS,CROP PRODUCTION,Cassava,,,,,,,,1623429,1152000,471429,1152000,05-02-15,Completed,4 - 6 Months,1,13,60,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,48,1,3,7,6,7,6,30,30,,,30,50,60,,,,,,3,65000,1570531922718.jpg,1570531969169.jpg,4.711616666666667 7.243693333333332 6.5 4.9,4.711616667,7.243693333,6.5,4.9,,,,,,,,,,IBIYE ANTHONY YELLOWE,1570535876922.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38382635,52e33821-1ba9-4a9d-9b5b-7467f903bbe4,2019-10-08T14:51:49,,790
2019-10-08T10:36:27.333+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA COMMUNITY ASSOCIATION,SIBARA BOROBA YAM FARMERS,CROP PRODUCTION,Yam/Minisett,,,,,,,,1357143,1070000,407143,1070000,05-02-15,Completed,4 - 6 Months,1,13,61,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,52,1,4,8,5,8,5,31,30,,,40,30,70,,,,,,3,75000,1570532618792.jpg,1570532805056.jpg,4.722566666666666 7.245620000000001 1.5 5.0,4.722566667,7.24562,1.5,5,THROUGH THE PROJECT INTERVENTION THE HAS INCRRASE THEIR PRODUCTION AND HAS INCLUDED CASSAVA FARMING AS IS CAPTURED THEIR INCOME HAS INCREASED AND LIFT THEIR STANDARD OF LIVING,,,,,,,,,IBIYE ANTHONY YELLOWE,1570535012935.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38382641,dc57f1b0-167b-4a75-ac1a-0ee897e69c44,2019-10-08T14:51:52,,791
2019-10-08T13:05:05.209+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA ASSOCIATION,PORT HARCOURT REAL MANNA FISH FARMERS,FISHERY,,Fish Pond,,,,,,,1965236,1450950,514286,1450950,05-02-15,Completed,4 - 6 Months,1,13,63,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,52,1,4,8,5,8,5,33,30,2,2,50,52,,1850,,,,,8,90000,1570536738039.jpg,1570536953276.jpg,4.7756583333333325 7.020843333333333 -24.4 5.0,4.775658333,7.020843333,-24.4,5,GROUP HAS EXPANDED AND IS SUSTAINABLE .GROUP HAS ALSO INCLUDED HATCHERY ALL GEAR TOWARDS INCREASE IN THEIR INCOME,Yes,THE GROUP LOCATED TO PRESENT SITE DUE TO UNAVAILABLE LAND ISSUE,,,,,,,IBIYE ANTHONY YELLOWE,1570545515980.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38382643,190674f6-897b-4b3e-a66a-53bcc80004d0,2019-10-08T14:51:54,,792
2019-10-08T14:33:11.073+01:00,RIVERS,AHOADA WEST,UBETA,UBETA NUMAI SEEFOR FADAMA CASSAVA FARMERS,CROP PRODUCTION,Cassava,,,,,,,,15300,1100000,430000,1100000,23-08-18,Completed,4 - 6 Months,1,12,12,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,14,1,4,9,3,9,3,0,44,0,0,0,0,20,,,,,,1,30000,1570542121550.jpg,1570542146903.jpg,5.159760660560301 6.584541887776369 38.7582360575306 4.0,5.159760661,6.584541888,38.75823606,4,INCREASE IN INCOME BASES,No,,,,,,,,WAGBARA CHIKANNELE C,1570543009007.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38382687,c12aafe9-e113-421d-878c-4b547e131a08,2019-10-08T14:52:36,,793
2019-10-08T15:11:54.060+01:00,RIVERS,OBIO/AKPOR,CHOBA,AGEERS VEGETABLE,CROP PRODUCTION,Vegetable,,,,,,,,1400000,1200000,200000,1200000,14-08-14,Completed,4 - 6 Months,1,15,15,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,60,1,5,8,7,8,7,56,40,0,0,56,40,20,,,,,,4,20000,1570544363935.jpg,1570544391585.jpg,4.892708333333333 6.90595 -6.3 4.7,4.892708333,6.90595,-6.3,4.7,IMPROVED KNOWLEDGE IN AGRICULTURE,No,,,,,,,,CHARLES WORLU JAGWO,1570544565904.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38383024,dd3e09ac-6ccb-4fdb-a24d-14cc40b5298f,2019-10-08T14:59:00,,794
2019-10-08T15:35:03.782+01:00,RIVERS,OBIO/AKPOR,CHOBA,CHOBA FISH,FISHERY,,Fish Pond,,,,,,,2050000,1780000,270000,1780000,14-08-14,Completed,4 - 6 Months,1,13,13,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,60,1,3,7,6,7,6,64,30,2,2,64,30,,1620,,,,,4,40000,1570545935623.jpg,1570545963944.jpg,4.89471 6.910593333333333 22.1 5.0,4.89471,6.910593333,22.1,5,CREATE EMPLOYMENT,No,,,,,,,,CHARLES WORLU JAGWO,1570546082212.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38383064,17566711-45e4-40a1-9905-1a455c143afb,2019-10-08T14:59:45,,795
2019-10-08T15:51:47.935+01:00,RIVERS,AHOADA WEST,UBETA,UBETA UNUNUMAH OILPALM PROCESSING,PROCESSING,,,,,Palm Oil Processing,,,,3400000,2300000,1100000,2300000,23-08-18,Completed,4 - 6 Months,1,9,9,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,14,1,5,7,2,7,2,3,45,4,2,0,0,,,,,,1000,3,40000,1570546629093.jpg,1570546683505.jpg,5.098615 6.54753 213.4 7.4,5.098615,6.54753,213.4,7.4,MODERN METHOD OF OILPALM PROCESSING ADOPTED,Yes,GROUP RELOCATED FROM UBETA TO IDU EKPEYE FOR SECURITY REASONS,,,,,,,NKPAH K. BARRY,1570546824717.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38383591,b7168db3-3f6e-4654-8590-fee6ee68ea62,2019-10-08T15:08:15,,796
2019-10-08T09:23:55.149+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA COMMUNITY ASSOCISTION,KIRA DEEBARI SEEFOR FADAMA POULTRY FARMERS,POULTRY,,,,Broilers,,,,,3949486,3285200,664286,3285200,05-02-15,Completed,4 - 6 Months,1,13,13,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,50,1,4,7,6,7,6,74,40,3,2,71,38,,,,6500,,,8,70000,1570526581927.jpg,1570526155883.jpg,4.714776666666666 7.2533883333333335 24.9 4.9,4.714776667,7.253388333,24.9,4.9,HIGH INCREASE IN PRODUCTION DUE TO PROFIT RATE,No,,,,,,,,BAADOM ESTHER T.,1570526423664.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38384301,f7152184-f468-4b4e-85e1-e8c7353ff03e,2019-10-08T15:18:13,,797
2019-10-08T09:44:14.895+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA COMMUNITY ASSOCIATION,KIRA LEKARA SEEFOR FADAMA FISH FARMERS,FISHERY,,Fish Pond,,,,,,,3411857,2769000,642857,2769000,05-02-15,Completed,4 - 6 Months,1,13,13,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,56,1,5,7,6,7,6,72,51,2,2,70,49,,14960,,,,,8,78,1570526948782.jpg,1570526965788.jpg,4.715091666666667 7.253461666666667 22.4 4.4,4.715091667,7.253461667,22.4,4.4,SUSTAINABLE EARTHEN POND AND DIVERSIFY INTO FISH PROCESSING WITH 100KG DRYER,No,,,,,,,,BAADOM ESTHER T.,1570527032739.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38384315,97783412-ae60-4584-88f4-6e48aec241c3,2019-10-08T15:18:19,,798
2019-10-08T10:40:15.068+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA COMMUNITY ASSOCIATION,KIRA SEEFOR FADAMA COMMUNITY ASSOCIATION,RURAL INFRASTRUCTURE,,,,,,,Rural Market,,3428571,3000000,428571,3000000,05-02-15,Completed,4 - 6 Months,1,14,14,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,52,1,4,8,6,8,6,80,23,2,1,78,22,,,,,,,,64000,1570530276567.jpg,1570530308713.jpg,4.717826666666666 7.249741666666667 -7.4 4.9,4.717826667,7.249741667,-7.4,4.9,IMPROVE ON SALES OF FARM PRODUCE,No,,,,,,,,BAADOM ESTHER T.,1570529023857.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38384332,d6653b61-6bc9-453b-bee2-815790ee5605,2019-10-08T15:18:22,,799
2019-10-08T13:02:09.956+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA COMMUNITY ASSOCIATION,PORT HARCOURT MEN ABLAZE SEEFOR FADAMA POULTRY FARMERS,POULTRY,,,,Broilers,,,,,2264286,1750000,514286,1750000,05-02-15,Completed,4 - 6 Months,1,13,13,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,54,1,5,8,5,8,5,63,52,3,2,60,50,,,,13000,,,8,135,1570543009594.jpg,1570543060426.jpg,4.937548333333334 6.901915000000001 34.8 4.3,4.937548333,6.901915,34.8,4.3,INCREASE IN PRODUCTION,Yes,"DUE TO INAVAILABILITY OF GOOD FARM SITE, GROUP RELOCATED TO NGOGIDI TOWN",,,,,,,BAADOM ESTHER T.,1570543268648.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38384351,d288922e-7233-4f57-96e0-978ec851e269,2019-10-08T15:18:28,,800
2019-10-08T15:02:04.699+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA COMMUNITY ASSOCIATION,KIRA GBOYIREBANE SEEFOR FADAMA FISH FARMERS,FISHERY,,Fish Pond,,,,,,,2052857,1410000,642857,1410000,05-02-15,Completed,4 - 6 Months,1,13,13,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,52,1,4,8,5,8,5,75,33,2,1,73,32,,12000,,,,,8,72050,1570543497384.jpg,1570543551724.jpg,4.937525000000001 6.901741666666667 2.5 5.0,4.937525,6.901741667,2.5,5,INCREASE IN PRODUCTION AND SUSTAINABLE,Yes,"DUE TO INAVAILABILITY OF GOOD FARM SITE ,GROUP RELOCATED TO NGBOGIDI TOWN",,,,,,,BAADOM ESTHER T.,1570543655673.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38384363,0213982c-d15a-41f7-aee5-6194b6580f38,2019-10-08T15:18:32,,801
2019-10-08T10:10:32.781+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA COMMUNITY ASSOCIATION,KIRA LEKA SEEFOR FADAMA FISH FARMERS,FISHERY,,Fish Pond,,,,,,,3094857,2452000,642857,2452000,05-02-15,Completed,4 - 6 Months,1,13,63,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,52,1,3,8,5,8,5,40,23,2,3,30,33,,8480,,,,,8,126000,1570525994522.jpg,1570527270162.jpg,4.715083333333332 7.253701666666666 13.0 4.8,4.715083333,7.253701667,13,4.8,GOOD INCREASE IN PRODUCTION,No,,,,,,,,DANIELS BLESSING D.,1570526126702.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38385163,c8cf7069-bb90-4827-8b36-f9767801b19f,2019-10-08T15:27:39,,802
2019-10-08T10:16:36.720+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA COMMUNITY ASSOCIATION,KIRA MENE--OL SEEFOR FADAMA PIGGERY FARMERS,LIVESTOCK,,,Piggery,,,,,,3656857,3014000,642857,3014000,05-02-15,Completed,4 - 6 Months,1,13,100,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,52,1,4,8,5,8,5,39,30,3,2,60,40,,,70,,,,8,85000,1570526404508.jpg,1570526665909.jpg,4.714775 7.2534149999999995 8.9 5.0,4.714775,7.253415,8.9,5,INCREASE IN PRODUCTION,No,,,,,,,,DANIELS BLESSING D.,1570526803118.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38385218,c8215694-bf4a-4386-8421-ebff69666d60,2019-10-08T15:27:50,,803
2019-10-08T11:01:34.434+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA COMMUNITY ASSOCIATION,KIRA KAMANU SEEFOR FADAMA FISH FARMERS,FISHERY,,Fish Pond,,,,,,,2642857,1500000,642857,1500000,05-02-15,Completed,4 - 6 Months,1,13,61,Capacity building services People that have access to rural infrastructure services Advisory Services Input Support,1,1,1,1,52,1,4,8,5,8,5,31,30,2,1,60,52,,9200,,,,,8,60000,1570529546677.jpg,1570529631317.jpg,4.716753333333333 7.2524283333333335 11.4 4.9,4.716753333,7.252428333,11.4,4.9,SLOW PROCESS OF PRODUCTION,No,,,,,,,,DANIELS BLESSING D.,1570529681941.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38385271,4b0ced99-c6a8-4d62-a587-d0d2e2b918a9,2019-10-08T15:28:04,,804
2019-10-08T11:53:49.508+01:00,RIVERS,TAI,KIRA SEEFOR FADAMA COMMUNITY ASSOCIATION,KIRA WURALE SEEFOR FADAMA FISH FARMERS,FISHERY,,Fish Pond,,,,,,,2142457,1500000,642857,1500000,05-02-15,Completed,4 - 6 Months,1,13,104,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,52,1,4,8,5,8,5,30,30,2,50,50,53,,7400,,,,,8,60000,1570533375810.jpg,1570533452076.jpg,4.729028333333333 7.240538333333334 42.5 4.9,4.729028333,7.240538333,42.5,4.9,SUCCESSFUL PRODUCTION,No,,,,,,,,DANIELS BLESSING D.,1570533550970.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38385295,f7833e72-f6e0-4cff-9b7d-5943a91ec432,2019-10-08T15:28:13,,805
2019-10-08T09:13:00.500+01:00,RIVERS,TAI,SEEFOR FADAMA COMMUNITY ASSOCIATION,KIRA LEGBOKO SEEFOR FADAMA CASAVA FARMERS,CROP PRODUCTION,Cassava,,,,,,,,1477143,1050000,407143,1050000,05-02-15,Completed,4 - 6 Months,1,13,50,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,52,1,4,7,6,7,6,25,25,,,45,35,18,,,,,,4,54000,1570531613211.jpg,1570531672167.jpg,4.712981666666667 7.245215 5.0 4.8,4.712981667,7.245215,5,4.8,GOOD PRODUCTION,No,,,,,,,,DANIELS BLESSING D.,1570525814641.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38385384,59402f11-4ff3-46d6-ad57-a8cd4728c674,2019-10-08T15:28:37,,806
2019-10-08T09:11:25.026+01:00,RIVERS,ETCHE,OBITE,UMUEGBERI,POULTRY,,,,Broilers,,,,,2930000,2200000,730000,2200000,19-09-17,Completed,4 - 6 Months,1,10,10,Capacity building services People that have access to rural infrastructure services Advisory Services Input Support,1,1,1,1,24,1,4,5,5,5,5,15,60,2,2,69,31,,,,500,,,2,140000,1570528863144.jpg,1570528943887.jpg,5.196186666666667 7.079803333333333 21.9 5.8,5.196186667,7.079803333,21.9,5.8,EMPLOYMENT GENERATION,No,,,,,,,,NWACHUKWU CHARTY N,1570523104832.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38388942,e1cda212-a3ed-40d8-9b84-5e91687275f2,2019-10-08T16:18:46,,807
